Fecha,IPC,IPC Transables,IPC No Transables,IPC Alimento y Energía,IPC Importado,Tasa de política,Petróleo (US$ por barril)
10/1/2003,0.492246751,0.460730316,0.514069442,0.91659933,1.056285879,2.75,0.065797055
11/1/2003,0.465462441,0.449418725,0.476486494,0.858080917,1.014146012,2.5,0.022714767
12/1/2003,0.438413291,0.437075006,0.439183074,0.799279669,0.970034065,2.5,0.037814829
1/1/2004,0.411137604,0.423838573,0.402121697,0.740241529,0.924542235,2.5,0.061516964
2/1/2004,0.383700161,0.409852257,0.36530679,0.681065092,0.878409567,2.5,0.015737897
3/1/2004,0.356172435,0.395219001,0.328789022,0.621850923,0.831935614,2.5,0.05818847
4/1/2004,0.328509204,0.379921731,0.292507446,0.562505448,0.785009294,2.5,0.000604286
5/1/2004,0.300723777,0.363891956,0.256537529,0.503026163,0.737374624,2.5,0.095418541
6/1/2004,0.273047012,0.347123211,0.221287524,0.443757335,0.688631093,2.5,-0.055352699
7/1/2004,0.245856898,0.329236206,0.187688438,0.385283864,0.637149395,2.5,0.068974169
8/1/2004,0.218847209,0.306700992,0.157747188,0.327613297,0.573474314,2.75,0.104123124
9/1/2004,0.194313624,0.270977135,0.141221232,0.278603659,0.492486863,2.75,0.02097442
10/1/2004,0.173436458,0.235161935,0.130977206,0.23704909,0.413715615,3,0.160940851
11/1/2004,0.156473991,0.202748662,0.12493068,0.203044099,0.348828014,3,-0.088181875
12/1/2004,0.142393366,0.176129057,0.11962962,0.17482174,0.304108452,3,-0.107956531
1/1/2005,0.130381825,0.155460599,0.113688638,0.150865985,0.273876048,3,0.083644317
2/1/2005,0.119686964,0.13890969,0.107128794,0.129814958,0.251060686,3,0.026690352
3/1/2005,0.112506137,0.125450055,0.104356644,0.115383973,0.233200956,3,0.120925606
4/1/2005,0.112331568,0.115818145,0.110809928,0.113643988,0.219261411,3,-0.018693198
5/1/2005,0.119713666,0.110592907,0.127054026,0.125813557,0.208836671,3,-0.057809344
6/1/2005,0.133196275,0.111177929,0.149595762,0.149256381,0.202418425,3,0.12962592
7/1/2005,0.151024195,0.119429924,0.174125745,0.180039678,0.202570975,3,0.046487409
8/1/2005,0.168485359,0.134156622,0.193488007,0.20984372,0.213610038,3,0.101293257
9/1/2005,0.181061422,0.153006502,0.201633628,0.230798325,0.234719312,3,0.010180789
10/1/2005,0.185828101,0.171355606,0.196773211,0.237922362,0.256726083,3,-0.051910674
11/1/2005,0.182689885,0.184424987,0.182174419,0.231174251,0.268279366,3,-0.06299688
12/1/2005,0.17401274,0.189359538,0.163880846,0.21494225,0.262612836,3.25,0.017903352
1/1/2006,0.163178711,0.184302364,0.148909857,0.195673793,0.240355446,3.5,0.098509154
2/1/2006,0.153200952,0.170432139,0.141597042,0.178825292,0.205732175,3.75,-0.056318049
3/1/2006,0.143527056,0.1505445,0.139062608,0.16334509,0.163689219,4,0.018650699
4/1/2006,0.132782195,0.128470789,0.136257323,0.146278331,0.121290127,4.25,0.107884807
5/1/2006,0.119722589,0.107193813,0.129006344,0.125179325,0.085356473,4.5,0.020419407
6/1/2006,0.103267056,0.088277943,0.114362897,0.098055638,0.060751343,4.5,0.001196935
7/1/2006,0.085048082,0.073466968,0.09380102,0.067518792,0.050808519,4.5,0.048015029
8/1/2006,0.07033596,0.06348962,0.075730247,0.042445019,0.055880259,4.5,-0.017679097
9/1/2006,0.064350123,0.05760163,0.069577216,0.032008548,0.074869643,4.5,-0.123021991
10/1/2006,0.069455173,0.055715666,0.079487436,0.040715129,0.107516935,4.5,-0.080614914
11/1/2006,0.085460939,0.058737614,0.10451296,0.06885433,0.151015844,4.5,0.000933894
12/1/2006,0.110768691,0.068509561,0.140669641,0.114156723,0.206022325,4.5,0.050955311
1/1/2007,0.141834404,0.087726474,0.180047938,0.170445023,0.277399224,4.5,-0.116818396
2/1/2007,0.174929042,0.118258536,0.214989538,0.230491039,0.364643704,4.5,0.083509742
3/1/2007,0.206880477,0.158667996,0.241109162,0.287743661,0.461475172,4.5,0.019530028
4/1/2007,0.235347886,0.204807424,0.257279901,0.337882008,0.560362126,4.5,0.058711967
5/1/2007,0.263704327,0.254163682,0.270911743,0.386384792,0.655534182,4.5,-0.007603681
6/1/2007,0.295440494,0.3028498,0.290687967,0.439443046,0.741820784,4.5,0.062754158
7/1/2007,0.329771458,0.346183657,0.318630142,0.496475664,0.812124869,4.75,0.096393386
8/1/2007,0.363644188,0.382100393,0.351014366,0.552089015,0.858851672,4.75,-0.022142963
9/1/2007,0.395123772,0.410549538,0.384569282,0.602200872,0.881028888,5,0.10036354
10/1/2007,0.422576123,0.433331962,0.415281053,0.643444371,0.882188522,5,0.077629376
11/1/2007,0.4454592,0.451602863,0.441462415,0.673761371,0.864476207,5,0.106601904
12/1/2007,0.463772331,0.465117838,0.463254527,0.691709768,0.82693279,5,-0.033154533
1/1/2008,0.478349591,0.47303439,0.482560272,0.698596789,0.768136374,5.25,0.013046591
2/1/2008,0.490481818,0.473340847,0.502899288,0.698011268,0.688376853,5.25,0.025807677
3/1/2008,0.50112308,0.463790648,0.527438082,0.694004589,0.588418094,5.25,0.104008905
4/1/2008,0.508715113,0.441102846,0.555851576,0.685781215,0.465709532,5.5,0.068970925
5/1/2008,0.508985218,0.403389509,0.582242644,0.666658606,0.318149413,5.5,0.116345078
6/1/2008,0.499939309,0.353374316,0.601321246,0.633698709,0.152993538,5.75,0.065256625
7/1/2008,0.481922453,0.296241153,0.610058831,0.588592825,-0.016476828,6,7.47E-05
8/1/2008,0.455799832,0.237515847,0.606163729,0.53372845,-0.175540506,6.25,-0.12856147
9/1/2008,0.421370095,0.182399598,0.585784165,0.468632607,-0.314596528,6.5,-0.103871497
10/1/2008,0.380285777,0.134116343,0.54954268,0.395775204,-0.430214859,6.5,-0.267189158
11/1/2008,0.334737136,0.093657293,0.500459826,0.319425717,-0.519271396,6.5,-0.253949997
12/1/2008,0.287237854,0.060679952,0.443018027,0.245388532,-0.581343302,6.5,-0.287430529
1/1/2009,0.240333089,0.033145513,0.382893866,0.178789862,-0.621307195,6.5,0.020156521
2/1/2009,0.194603044,0.009803253,0.321862959,0.119680302,-0.643475115,6.25,-0.061105034
3/1/2009,0.15161944,-0.007806589,0.26146579,0.069016223,-0.644205856,6,0.228785568
4/1/2009,0.115325263,-0.015198423,0.205342805,0.031770626,-0.6153521,5,0.038049095
5/1/2009,0.08820008,-0.009447928,0.15579212,0.011104516,-0.551835214,4,0.188185751
6/1/2009,0.069515019,0.009686927,0.111564361,0.003908647,-0.458244048,3,0.177776501
7/1/2009,0.058670357,0.04012569,0.073111506,0.006792196,-0.343116699,2,-0.077241304
8/1/2009,0.056201234,0.077806514,0.043951498,0.020173915,-0.21673003,1.25,0.105545573
9/1/2009,0.062310164,0.116879662,0.02818449,0.045891741,-0.092513214,1.25,-0.023970011
10/1/2009,0.07537795,0.150882973,0.027347407,0.081867994,0.016587788,1.25,0.091916199
11/1/2009,0.092991227,0.175747725,0.040094795,0.123972861,0.101357095,1.25,0.029594169
12/1/2009,0.112085181,0.190191632,0.062168848,0.165664473,0.16008592,1.25,-0.043403632
1/1/2010,0.130308086,0.197259197,0.087693936,0.201724319,0.201892892,1.25,0.050775197
2/1/2010,0.146915181,0.201350124,0.112611403,0.231304311,0.237593388,1.25,-0.026615275
3/1/2010,0.160891966,0.205741012,0.133146081,0.253187914,0.269861581,1.25,0.064635532
4/1/2010,0.17184162,0.211901499,0.147613221,0.267343927,0.298912118,1.25,0.038295201
5/1/2010,0.180510944,0.219171342,0.15756518,0.275856413,0.324344069,1.5,-0.125205987
6/1/2010,0.188925543,0.226212561,0.167091981,0.284224515,0.344318329,1.75,0.021411521
7/1/2010,0.198346442,0.231980707,0.17885699,0.296133871,0.356604164,2,0.010486367
8/1/2010,0.208589399,0.236194872,0.192797556,0.311158664,0.360889379,2.5,0.006215779
9/1/2010,0.219470153,0.239725138,0.208186603,0.327795897,0.360846443,3,-0.018146429
10/1/2010,0.231265992,0.244629039,0.224205544,0.346119681,0.36295448,3,0.088869127
11/1/2010,0.24356937,0.252715714,0.239067779,0.364905192,0.371224445,3,0.028239305
12/1/2010,0.255768947,0.265586264,0.250757308,0.382574323,0.384966334,3,0.059546151
1/1/2011,0.268228888,0.282554238,0.260282692,0.400245082,0.400224328,3.25,0.000709395
2/1/2011,0.28239776,0.301133381,0.271552799,0.421178197,0.413644075,3.5,-0.009877116
3/1/2011,0.298949665,0.317697245,0.287910486,0.447390898,0.422320263,3.75,0.163522152
4/1/2011,0.316485199,0.328916115,0.309129542,0.477196447,0.422123915,4,0.065918474
5/1/2011,0.332549989,0.333231666,0.332183443,0.506411737,0.409720381,4.25,-0.079815976
6/1/2011,0.344767852,0.330689429,0.353247187,0.529874978,0.38659698,4.25,-0.045812326
7/1/2011,0.352072714,0.322828467,0.369725715,0.544303287,0.356601329,4.25,0.009564013
8/1/2011,0.353496935,0.311228285,0.379103424,0.546370894,0.323750713,4.25,-0.111759122
9/1/2011,0.348755545,0.297292561,0.380025271,0.534674705,0.290417905,4.25,-0.008362584
10/1/2011,0.338777034,0.28193876,0.373352209,0.511343765,0.256790082,4.25,0.008264528
11/1/2011,0.326674899,0.266429567,0.363245372,0.483440178,0.224148358,4.25,0.125369218
12/1/2011,0.315468736,0.25098095,0.354426917,0.458995704,0.19465948,4.25,0.015345017
1/1/2012,0.304666194,0.234754319,0.346675515,0.43812625,0.167476087,4.25,0.015371214
2/1/2012,0.293213398,0.218004721,0.338195482,0.418616942,0.140849299,4.25,0.021193058
3/1/2012,0.28104282,0.201384252,0.328508224,0.398826285,0.115660047,4.25,0.038135191
4/1/2012,0.267810228,0.185586055,0.31667716,0.376190986,0.09467625,4.25,-0.026735722
5/1/2012,0.253921399,0.17180769,0.302659295,0.349659116,0.081100444,4.25,-0.085555212
6/1/2012,0.240838552,0.160374131,0.288573591,0.321104886,0.074894426,4.25,-0.128880892
7/1/2012,0.228916271,0.150891197,0.275191971,0.291543282,0.072841331,4.25,0.067856893
8/1/2012,0.220084338,0.143853691,0.26528087,0.266505608,0.072437792,4.25,0.071034835
9/1/2012,0.216224603,0.139887316,0.261452082,0.251979251,0.073990988,4.25,0.005111962
10/1/2012,0.217235657,0.139310613,0.263352519,0.248896404,0.078674153,4.25,-0.054128108
11/1/2012,0.221555756,0.141722567,0.268737346,0.254237409,0.087763762,4.25,-0.032049176
12/1/2012,0.227714913,0.146341768,0.275738187,0.264304593,0.102073497,4.25,0.014509028
1/1/2013,0.234988986,0.152578371,0.283558455,0.276186681,0.121351356,4.25,0.077224872
2/1/2013,0.241422489,0.159844158,0.289455196,0.28432185,0.14583063,4.25,0.007124781
3/1/2013,0.245458273,0.168784334,0.290584156,0.285001183,0.176758691,4.25,-0.023050594
4/1/2013,0.247660535,0.179958665,0.2875087,0.2803965,0.213199096,4.25,-0.012045625
5/1/2013,0.25006491,0.192924847,0.28370947,0.276672558,0.251419114,4.25,0.026722829
6/1/2013,0.254081215,0.207376727,0.281604382,0.278341656,0.288123084,4.25,0.013675479
7/1/2013,0.260883262,0.222715618,0.283401698,0.288969251,0.321474442,4.25,0.091663101
8/1/2013,0.268811592,0.236256295,0.288024449,0.305585408,0.347048688,4.25,0.019334268
9/1/2013,0.275341212,0.244989696,0.293209657,0.322157342,0.35995507,4.25,-0.001902243
10/1/2013,0.279348763,0.247953721,0.297738842,0.335231757,0.359797191,4.25,-0.054825036
11/1/2013,0.279163416,0.245389444,0.298847086,0.340092463,0.348568931,4,-0.066808718
12/1/2013,0.274552723,0.239065707,0.29514985,0.334846207,0.330024725,4,0.043442572
1/1/2014,0.267649411,0.231164712,0.288753101,0.323513725,0.307325383,4,-0.029688296
2/1/2014,0.260868944,0.222521654,0.282999761,0.311584118,0.278793486,4,0.060596671
3/1/2014,0.254973635,0.2123193,0.279583346,0.301566235,0.238156774,4,-0.001421288
4/1/2014,0.250656186,0.199651737,0.280112162,0.294943906,0.181632522,4,0.015192896
5/1/2014,0.24835126,0.185089649,0.2849119,0.29259827,0.113335118,4,-0.001263958
6/1/2014,0.247743623,0.170063879,0.292642811,0.293040564,0.04188831,4,0.031634486
7/1/2014,0.24851476,0.155896294,0.302027333,0.294405129,-0.024236059,3.75,-0.021683352
8/1/2014,0.250657044,0.144696946,0.311829546,0.296160095,-0.077257604,3.75,-0.062284397
9/1/2014,0.254715024,0.139606356,0.32111106,0.298940778,-0.109586566,3.5,-0.032247063
10/1/2014,0.261461918,0.142462311,0.330046166,0.303905144,-0.117283746,3.5,-0.096616548
11/1/2014,0.271288637,0.152958592,0.33943959,0.313086652,-0.103596553,3.5,-0.103225956
12/1/2014,0.282960639,0.167901344,0.349197787,0.325591848,-0.07977454,3.5,-0.218678102
1/1/2015,0.294465974,0.183135759,0.358541639,0.3385889,-0.056079153,3.25,-0.196252387
2/1/2015,0.304919868,0.196544271,0.367277285,0.351154102,-0.035791871,3.25,0.066462645
3/1/2015,0.315157636,0.207947245,0.376800416,0.365416264,-0.016213916,3.25,-0.056509699
4/1/2015,0.32511397,0.217769729,0.386755247,0.381161506,0.006274996,3.25,0.13355891
5/1/2015,0.333456255,0.226964389,0.394503776,0.39453081,0.033596111,3.25,0.09289196
6/1/2015,0.338346011,0.236140839,0.396811389,0.401842134,0.064759301,3.25,0.009669384
7/1/2015,0.339036463,0.245142869,0.392615186,0.401819966,0.09601815,3.25,-0.14471026
8/1/2015,0.336834098,0.254286322,0.383826053,0.396793383,0.124686011,3.25,-0.16213704
9/1/2015,0.33149622,0.262371461,0.370782468,0.386698459,0.145377883,3.5,0.061502643
10/1/2015,0.321496598,0.267235724,0.352332165,0.369167274,0.151178283,3.5,0.015812764
11/1/2015,0.307651398,0.267659122,0.330442759,0.346043649,0.141150264,3.5,-0.08303973
12/1/2015,0.292670227,0.264919816,0.30860715,0.322354285,0.123697097,3.75,-0.12216156
1/1/2016,0.280123061,0.262485302,0.290413109,0.304291269,0.110527052,4,-0.144358436
2/1/2016,0.272175139,0.262380869,0.278086814,0.294798563,0.107457528,4.25,-0.049030753
3/1/2016,0.268841068,0.265110823,0.27135698,0.293348582,0.115411926,4.25,0.249119534
4/1/2016,0.268595301,0.270959829,0.267674316,0.296968073,0.134081374,4.25,0.083049196
5/1/2016,0.270094099,0.278838301,0.265565582,0.303250962,0.15886609,4.25,0.143430304
6/1/2016,0.273487918,0.286729777,0.266426991,0.313306488,0.182944309,4.25,0.041094029
7/1/2016,0.276491347,0.293037537,0.267603928,0.323634588,0.202210948,4.25,-0.079941898
8/1/2016,0.276091403,0.295691828,0.265554269,0.32830731,0.214181414,4.25,-0.003013317
9/1/2016,0.271902757,0.293145422,0.260533188,0.326304934,0.218625305,4.25,0.009832297
10/1/2016,0.265808547,0.285241493,0.255547877,0.320765406,0.216665828,4.25,0.103658089
11/1/2016,0.259888895,0.27300497,0.253247845,0.314287025,0.210141855,4.25,-0.082988546
12/1/2016,0.253448906,0.25758254,0.251889831,0.304902071,0.200942319,4.25,0.137022673
1/1/2017,0.243532976,0.239568894,0.246524285,0.286933889,0.18882479,4.25,0.01119478
2/1/2017,0.228903131,0.219890436,0.234713794,0.259288117,0.174851058,4.25,0.017342305
3/1/2017,0.210576876,0.199843807,0.217342192,0.224556811,0.161178564,4.25,-0.077389605
4/1/2017,0.189872795,0.180433532,0.195910274,0.185663079,0.149392176,4.25,0.037659756
5/1/2017,0.167151841,0.161358754,0.171146438,0.143805428,0.139166857,4,-0.051990352
6/1/2017,0.142834014,0.141844915,0.144139424,0.099572111,0.129208942,4,-0.068967863
7/1/2017,0.119408593,0.122262426,0.118568627,0.05688755,0.120650305,3.75,0.030870382
8/1/2017,0.100274536,0.104899392,0.098448027,0.021509051,0.117246844,3.75,0.031447299
9/1/2017,0.088339433,0.09292998,0.086521065,-0.001695065,0.124217781,3.5,0.034679562
10/1/2017,0.083627042,0.087435804,0.082209352,-0.012769601,0.144029851,3.5,0.037721577
11/1/2017,0.084782139,0.087965927,0.083647723,-0.01336499,0.174422371,3.25,0.09859788
12/1/2017,0.091374847,0.093402113,0.090807622,-0.003104669,0.20984354,3.25,0.021810738
1/1/2018,0.102605584,0.101997578,0.103441822,0.017785602,0.244086164,3,0.098125745
2/1/2018,0.115967069,0.111902653,0.118683163,0.044403506,0.27316833,3,-0.021515027
3/1/2018,0.127644716,0.120958337,0.131791696,0.068446607,0.293386495,2.75,0.00980145
4/1/2018,0.137154058,0.12742605,0.142984321,0.088209682,0.301646608,2.75,0.054622933
5/1/2018,0.146404348,0.131740042,0.154990819,0.106553144,0.299340329,2.75,0.054863051
6/1/2018,0.156856881,0.135914143,0.168950919,0.125382801,0.292548493,2.75,-0.028836742
7/1/2018,0.168479051,0.140916946,0.184261572,0.1446114,0.285186996,2.75,0.047941352
8/1/2018,0.178814976,0.145576051,0.197743206,0.160884033,0.276858671,2.75,-0.043184849
9/1/2018,0.185983442,0.148038749,0.207506663,0.171907259,0.264243688,2.75,0.031692413
10/1/2018,0.190254186,0.148127984,0.214083811,0.17913381,0.247294699,2.75,0.007636755
11/1/2018,0.191548095,0.146138432,0.217191045,0.182807661,0.227063829,2.75,-0.198128487
12/1/2018,0.189322709,0.142245659,0.215884937,0.181174172,0.203825611,2.75,-0.137690391
1/1/2019,0.183777475,0.136518728,0.210440603,0.173186492,0.177668856,2.75,0.046642255
2/1/2019,0.176969122,0.131294678,0.202742626,0.16069506,0.155228376,2.75,0.073908835
3/1/2019,0.17225332,0.126750706,0.197916093,0.151383221,0.134910611,2.75,0.0575679
4/1/2019,0.168369871,0.12255524,0.194185768,0.143508698,0.116040822,2.75,0.098331495
5/1/2019,0.164933685,0.118557155,0.191038857,0.136540334,0.098136013,2.75,-0.049291741
6/1/2019,0.161702049,0.114673596,0.188144901,0.130074671,0.080854537,2.75,-0.09986288
7/1/2019,0.158490117,0.110870922,0.185235346,0.123752518,0.063983208,2.75,0.048935167
8/1/2019,0.155237951,0.1071694,0.182205963,0.117414403,0.047444013,2.5,-0.04406365
9/1/2019,0.151965994,0.103573808,0.179086162,0.111047339,0.03118932,2.5,0.037435926
10/1/2019,0.148757019,0.10007371,0.176010989,0.104757466,0.015144227,2.5,-0.050909194
11/1/2019,0.145714338,0.096670818,0.173140417,0.098706199,-0.000703378,2.25,0.057743299
12/1/2019,0.142886021,0.093372997,0.170544612,0.092979702,-0.016336309,2.25,0.049039609
